,Frequency,MeanAmplitude,Lat,Lon,TransmitterDistance
242,96.6,-36.875,1.359603,103.843286,
243,96.7,-35.375,1.359603,103.843286,
244,96.9,-29.625,1.359603,103.843286,
245,97.0,-34.875,1.359603,103.843286,
246,97.1,-33.5,1.359603,103.843286,
247,97.3,-33.75,1.359603,103.843286,
248,97.4,-35.75,1.359603,103.843286,
249,97.5,-35.5,1.359603,103.843286,
250,97.7,-37.0,1.359603,103.843286,
251,97.8,-35.625,1.359603,103.843286,
252,97.9,-33.375,1.359603,103.843286,
253,98.1,-35.4285714286,1.359603,103.843286,
254,98.2,-35.0,1.359603,103.843286,
255,98.3,-36.6666666667,1.359603,103.843286,
256,98.5,-35.8333333333,1.359603,103.843286,
257,98.6,-32.5,1.359603,103.843286,
258,98.8,-29.0,1.359603,103.843286,
259,98.9,-36.375,1.359603,103.843286,
260,99.0,-37.375,1.359603,103.843286,
261,99.2,-36.5714285714,1.359603,103.843286,
262,99.3,-35.3333333333,1.359603,103.843286,
263,99.4,-35.0,1.359603,103.843286,
264,99.6,-13.625,1.359603,103.843286,
265,99.7,-15.0,1.359603,103.843286,
266,99.8,-15.0,1.359603,103.843286,
267,100.0,-24.375,1.359603,103.843286,
268,100.1,-36.0,1.359603,103.843286,
269,100.2,-16.0,1.359603,103.843286,
270,100.4,-32.625,1.359603,103.843286,
271,100.5,-36.7142857143,1.359603,103.843286,
272,100.6,-37.0,1.359603,103.843286,
273,100.8,-25.875,1.359603,103.843286,
274,100.9,-38.25,1.359603,103.843286,
275,101.0,-40.0,1.359603,103.843286,
276,101.3,-37.75,1.359603,103.843286,
277,101.6,-37.2,1.359603,103.843286,
278,101.7,-38.0,1.359603,103.843286,
279,101.8,-37.6666666667,1.359603,103.843286,
280,102.0,-36.5,1.359603,103.843286,
281,102.1,-40.0,1.359603,103.843286,
282,102.4,-39.8,1.359603,103.843286,
283,102.6,-38.0,1.359603,103.843286,
284,102.7,-39.0,1.359603,103.843286,
285,102.8,-38.5,1.359603,103.843286,
286,103.2,-39.0,1.359603,103.843286,
287,103.6,-39.6666666667,1.359603,103.843286,
288,103.9,-36.375,1.359603,103.843286,
289,104.0,-38.0,1.359603,103.843286,
290,104.2,-39.5,1.359603,103.843286,
291,104.4,-39.25,1.359603,103.843286,
292,104.8,-40.0,1.359603,103.843286,
293,105.0,-33.8333333333,1.359603,103.843286,
294,105.1,-18.0,1.359603,103.843286,
295,105.6,-27.1428571429,1.359603,103.843286,
296,108.0,-33.3333333333,1.359603,103.843286,
297,87.0,-38.1538461538,1.385351,103.745053,
298,87.005,-38.0,1.385351,103.745053,
299,87.01,-38.3333333333,1.385351,103.745053,
300,87.015,-37.3333333333,1.385351,103.745053,
301,87.02,-38.3333333333,1.385351,103.745053,
302,87.025,-33.2,1.385351,103.745053,
303,87.03,-30.5,1.385351,103.745053,
304,87.035,-34.4,1.385351,103.745053,
305,87.04,-30.4,1.385351,103.745053,
306,87.045,-31.0,1.385351,103.745053,
307,87.05,-30.5,1.385351,103.745053,
308,87.055,-31.25,1.385351,103.745053,
309,87.06,-30.8333333333,1.385351,103.745053,
310,87.065,-32.6666666667,1.385351,103.745053,
311,87.07,-32.4,1.385351,103.745053,
312,87.075,-30.3333333333,1.385351,103.745053,
313,87.08,-39.0,1.385351,103.745053,
314,87.085,-34.0,1.385351,103.745053,
315,87.095,-40.0,1.385351,103.745053,
316,87.1,-33.6363636364,1.385351,103.745053,
317,87.105,-40.0,1.385351,103.745053,
318,87.125,-36.7142857143,1.385351,103.745053,
319,87.13,-31.0,1.385351,103.745053,
320,87.15,-39.0,1.385351,103.745053,
321,87.155,-38.0,1.385351,103.745053,
322,87.16,-37.0,1.385351,103.745053,
323,87.165,-39.0,1.385351,103.745053,
324,87.17,-38.0,1.385351,103.745053,
325,87.175,-36.5,1.385351,103.745053,
326,87.19,-34.0,1.385351,103.745053,
327,87.195,-37.0,1.385351,103.745053,
328,87.2,-32.7142857143,1.385351,103.745053,
329,87.205,-35.0,1.385351,103.745053,
330,87.225,-35.2222222222,1.385351,103.745053,
331,87.25,-39.0,1.385351,103.745053,
332,87.275,-34.5,1.385351,103.745053,
333,87.3,-31.9803921569,1.385351,103.745053,
334,87.325,-31.4444444444,1.385351,103.745053,
335,87.4,-34.2894736842,1.385351,103.745053,
336,87.425,-36.5714285714,1.385351,103.745053,
337,87.45,-39.0,1.385351,103.745053,
338,87.475,-39.6666666667,1.385351,103.745053,
339,87.5,-36.9756097561,1.385351,103.745053,
340,87.7,-37.619047619,1.385351,103.745053,
341,87.9,-37.4482758621,1.385351,103.745053,
342,88.1,-19.3818181818,1.385351,103.745053,
